Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2024-03-09,ASA,6,LAX,DCA,6,68A,2,B16,false,,2024-03-09T13:15,2024-03-09T13:20,2024-03-09T13:25,2024-03-09T13:43,2024-03-09T21:01,2024-03-09T21:19,2024-03-09T20:59,2024-03-09T21:22,Boeing 737-800,N577AS,,,,,,,7a900b7e-c561-457f-914b-827a39930ba7,45411282-5411-46ac-89ce-720ab9efe700,25b8d712-9888-423f-868d-b25f1d184aaf,be38c6f9-3dd7-41e2-baf8-929dbd2b54f3,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2024-05-06,AAL,2479,DCA,LAX,2,C29,B,139,false,,2024-05-06T17:41,2024-05-06T18:03,2024-05-06T17:51,2024-05-06T18:22,2024-05-06T20:19,2024-05-06T20:53,2024-05-06T20:13,2024-05-06T21:04,Airbus A321neo,N449AN,,,,,,,97ddd9da-d488-41bf-8cfc-aa3f5ddedc29,ae1fc6a5-c42d-4e70-ba63-d641d248d270,be38c6f9-3dd7-41e2-baf8-929dbd2b54f3,25b8d712-9888-423f-868d-b25f1d184aaf,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2024-05-06,CPA,883,LAX,HKG,TBIT,153,1,,false,,2024-05-06T23:30,2024-05-06T23:28,2024-05-06T23:57,2024-05-06T23:46,2024-05-08T05:37,2024-05-08T05:19,2024-05-08T05:45,2024-05-08T05:29,Boeing 777-300 ER,BKPR,,,,,,,bc351533-3bf5-41c8-83ea-0b6873a8f21f,8508d82c-f03a-4c99-88d8-46ede5aceb6d,25b8d712-9888-423f-868d-b25f1d184aaf,7da61aa8-3d56-411b-8be5-50a198e86c60,,78eac566-1ad0-4ded-9979-9510dfde05f2
2024-05-28,KAL,178,HKG,ICN,1,,2,257,false,,2024-05-28T00:45,2024-05-28T00:41,2024-05-28T00:55,2024-05-28T00:53,2024-05-28T05:05,2024-05-28T04:45,2024-05-28T05:25,2024-05-28T04:54,Boeing 787-9,HL8391,,,,,,,028d86df-9fc6-4fac-baf0-8ba9d9e1a6cb,4bcd41e4-4c1d-4f70-8e68-51edb812ab3c,7da61aa8-3d56-411b-8be5-50a198e86c60,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2024-05-28,KAL,93,ICN,IAD,2,248,Main,,false,,2024-05-28T10:25,2024-05-28T10:30,2024-05-28T10:35,2024-05-28T10:48,2024-05-28T09:53,2024-05-28T11:00,2024-05-28T11:15,2024-05-28T11:12,Boeing 777-300 ER,HL8041,,,,,,,a7d5acb2-50ef-4017-8925-62d7c5c7db83,4bcd41e4-4c1d-4f70-8e68-51edb812ab3c,ca56969b-d5b4-4d55-95ad-f7abb4fdede9,519696f5-bda6-457c-ae4c-dd1cb07e20de,,78eac566-1ad0-4ded-9979-9510dfde05f2
2024-06-28,DAL,5391,CHO,LGA,,3,C,71,false,,2024-06-28T12:00,2024-06-28T14:26,2024-06-28T12:10,2024-06-28T15:04,2024-06-28T12:58,2024-06-28T15:59,2024-06-28T13:29,2024-06-28T16:05,"Bombardier CRJ900 ",N931XJ,,,,,,,062c58c3-a285-45df-95bd-020758059185,a8765091-d043-44b1-936c-d217bb519e56,5fd07c34-1fa4-4259-87e3-62eed404c3d9,dfeb8457-3376-49f8-b542-dbeb2ec9f719,,8a4bd3f7-3aac-4e32-8a52-07e5525b36e3
2024-06-30,DAL,5320,LGA,CHO,C,96,,4,false,,2024-06-30T21:15,2024-06-30T23:53,2024-06-30T21:25,2024-07-01T00:15,2024-06-30T22:21,2024-07-01T01:14,2024-06-30T22:50,2024-07-01T01:24,"Bombardier CRJ900 ",N934XJ,,,,,,,750161fc-6582-4e41-85b2-7d2fe084ccbe,a8765091-d043-44b1-936c-d217bb519e56,dfeb8457-3376-49f8-b542-dbeb2ec9f719,5fd07c34-1fa4-4259-87e3-62eed404c3d9,,8a4bd3f7-3aac-4e32-8a52-07e5525b36e3
2024-12-17,AAL,1162,DCA,LAX,2,C27,4,46C,false,,2024-12-17T17:30,2024-12-17T17:32,2024-12-17T17:40,2024-12-17T18:47,2024-12-17T19:52,2024-12-17T20:54,2024-12-17T20:35,2024-12-17T20:58,Airbus A321neo,N438AN,,,,,,,db4fda62-1f17-441d-8c32-0777d1a8c57f,ae1fc6a5-c42d-4e70-ba63-d641d248d270,be38c6f9-3dd7-41e2-baf8-929dbd2b54f3,25b8d712-9888-423f-868d-b25f1d184aaf,,2e99cd6b-cec7-4ec7-a85e-dbc2b5e25a8f
2024-12-17,CPA,881,LAX,HKG,TBIT,134,1,,false,,2024-12-17T23:20,2024-12-17T23:47,2024-12-17T23:43,2024-12-18T00:04,2024-12-19T06:33,2024-12-19T06:35,2024-12-19T07:20,2024-12-19T06:48,Boeing 777-300 ER,BKQI,,,,,,,efe0f1d5-55af-4eb4-8797-2d3b37562adc,8508d82c-f03a-4c99-88d8-46ede5aceb6d,25b8d712-9888-423f-868d-b25f1d184aaf,7da61aa8-3d56-411b-8be5-50a198e86c60,,78eac566-1ad0-4ded-9979-9510dfde05f2
2024-12-21,CSZ,9241,SZX,URC,T3,357,2,,false,,2024-12-21T09:35,2024-12-21T09:41,2024-12-21T09:45,2024-12-21T10:11,2024-12-21T15:06,2024-12-21T15:34,2024-12-21T15:15,2024-12-21T15:44,Boeing 737 MAX 8,B20DN,,,,,,,80ff78a9-6f32-4730-b560-886905344f62,882ae493-92fd-4736-99aa-2a349ce76c91,fe67fc1f-8483-4796-891a-81a54515c216,69533e3e-9b8d-4609-b30a-6957ba1e7a18,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2024-12-30,GCR,7486,FYN,URC,,1,2,,false,,2024-12-30T19:50,2024-12-30T19:30,2024-12-30T20:00,2024-12-30T19:44,2024-12-30T20:51,2024-12-30T20:33,2024-12-30T21:05,2024-12-30T20:43,Embraer 190,B3151,,,,,,,4c767e76-9b79-4a34-bbb5-86718f095f06,2e6df9a4-f4dc-4c31-832d-31bf0083aedb,a5d83f1f-ef48-4250-9af7-9181b2ec22b9,69533e3e-9b8d-4609-b30a-6957ba1e7a18,,fb807099-ea21-44f1-afb3-388faab25ae3
2024-12-31,CSZ,9242,URC,SZX,2,8,,,false,,2024-12-31T16:25,,2024-12-31T16:35,2024-12-31T16:39,2024-12-31T21:14,2024-12-31T21:31,2024-12-31T21:35,,Boeing 737 MAX 8,B20EU,,,,,,,638e3372-9e29-4238-9141-ac2b8a6e74ed,882ae493-92fd-4736-99aa-2a349ce76c91,69533e3e-9b8d-4609-b30a-6957ba1e7a18,fe67fc1f-8483-4796-891a-81a54515c216,,5ee1c1db-bf8c-475a-99b0-262bbc7a50b2
2025-01-02,CPA,830,HKG,JFK,1,3,8,,false,,2025-01-02T09:30,2025-01-02T09:29,2025-01-02T09:40,2025-01-02T09:50,2025-01-02T11:18,2025-01-02T11:40,2025-01-02T12:10,2025-01-02T11:46,Boeing 777-300 ER,BKPQ,,,,,,,cbb2c700-bead-40dc-a75d-f22db3cb21c4,8508d82c-f03a-4c99-88d8-46ede5aceb6d,7da61aa8-3d56-411b-8be5-50a198e86c60,fc332185-4dde-4791-b449-0de5e83e47b9,,78eac566-1ad0-4ded-9979-9510dfde05f2
2025-01-02,AAL,4671,JFK,DCA,8,42,2,E56,false,,2025-01-02T14:59,2025-01-02T14:51,2025-01-02T15:23,2025-01-02T15:09,2025-01-02T16:00,2025-01-02T16:04,2025-01-02T16:24,2025-01-02T16:12,Embraer 175,N401YX,,,,,,,17092b8a-c1e9-46ef-b7e5-179c3b9671d5,ae1fc6a5-c42d-4e70-ba63-d641d248d270,fc332185-4dde-4791-b449-0de5e83e47b9,be38c6f9-3dd7-41e2-baf8-929dbd2b54f3,,36728d5b-40cd-46ec-93ba-8822376b565d
2025-01-05,UAL,495,IAD,DEN,Main,C9,Main,B29,false,,2025-01-05T22:17,2025-01-05T22:22,2025-01-05T22:27,2025-01-05T22:34,2025-01-05T23:56,2025-01-05T23:52,2025-01-06T00:15,2025-01-05T23:59,Boeing 737-900ER,N57439,,,,,,,c2a91f48-2d2c-452d-81bb-fe36e80b594a,b57b4c86-4724-48f1-80be-d7de4036004a,519696f5-bda6-457c-ae4c-dd1cb07e20de,d00b5728-0678-4689-b660-fe9e583203dc,,24012541-435d-4a27-af8a-4791336f1965
2025-01-11,UAL,798,DEN,IAD,Main,B38,Main,D7,false,,2025-01-11T16:02,2025-01-11T17:13,2025-01-11T16:12,2025-01-11T17:29,2025-01-11T20:48,2025-01-11T22:01,2025-01-11T21:23,2025-01-11T22:09,Boeing 737-800,N13248,,,,,,,954d98e3-36f2-482b-9157-5ac90b489212,b57b4c86-4724-48f1-80be-d7de4036004a,d00b5728-0678-4689-b660-fe9e583203dc,519696f5-bda6-457c-ae4c-dd1cb07e20de,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
